UnderlyingSymbol,UnderlyingPrice,OptionSymbol,DataDate,Last,Delta,Vega,Multiplier,Signal
AAPL,208.49,AAPL190830C00130000,08/30/2019,77.5,1,0,100,-1
AAPL,208.49,AAPL190830P00130000,08/30/2019,0,0,0,100,1
AAPL,208.49,AAPL190830C00135000,08/30/2019,67.35,1,0,100,-1
AAPL,208.49,AAPL190830P00135000,08/30/2019,0,0,0,100,-1
AAPL,208.49,AAPL190830C00140000,08/30/2019,70.35,1,0,100,-1
AAPL,208.49,AAPL190830P00140000,08/30/2019,0,0,0,100,1
AAPL,208.49,AAPL190830C00145000,08/30/2019,0,1,0,100,-1
AAPL,208.49,AAPL190830P00145000,08/30/2019,0,0,0,100,-1
AAPL,208.49,AAPL190830C00150000,08/30/2019,53.14,1,0,100,1
AAPL,208.49,AAPL190830P00150000,08/30/2019,0,0,0,100,-1
AAPL,208.49,AAPL190830C00152500,08/30/2019,0,1,0,100,-1
AAPL,208.49,AAPL190830P00152500,08/30/2019,0.01,0,0,100,-1
AAPL,208.49,AAPL190830C00155000,08/30/2019,57.4,1,0,100,-1
AAPL,208.49,AAPL190830P00155000,08/30/2019,0,0,0,100,-1
AAPL,208.49,AAPL190830C00157500,08/30/2019,49.4,1,0,100,1
AAPL,208.49,AAPL190830P00157500,08/30/2019,0,0,0,100,-1
AAPL,208.49,AAPL190830C00160000,08/30/2019,44.5,1,0,100,1
AAPL,208.49,AAPL190830P00160000,08/30/2019,0,0,0,100,1
AAPL,208.49,AAPL190830C00162500,08/30/2019,42.25,1,0,100,1
AAPL,208.49,AAPL190830P00162500,08/30/2019,0.01,0,0,100,-1
AAPL,208.49,AAPL190830C00165000,08/30/2019,40.3,1,0,100,1
AAPL,208.49,AAPL190830P00165000,08/30/2019,0,0,0,100,-1
AAPL,208.49,AAPL190830C00167500,08/30/2019,33.55,1,0,100,-1
AAPL,208.49,AAPL190830P00167500,08/30/2019,0,0,0,100,-1
AAPL,208.49,AAPL190830C00170000,08/30/2019,30.6,1,0,100,-1
AAPL,208.49,AAPL190830P00170000,08/30/2019,0,0,0,100,-1
AAPL,208.49,AAPL190830C00172500,08/30/2019,34.6,1,0,100,-1
AAPL,208.49,AAPL190830P00172500,08/30/2019,0,0,0,100,-1
AAPL,208.49,AAPL190830C00175000,08/30/2019,32.37,1,0,100,-1
AAPL,208.49,AAPL190830P00175000,08/30/2019,0,0,0,100,1
AAPL,208.49,AAPL190830C00177500,08/30/2019,31.73,1,0,100,-1
AAPL,208.49,AAPL190830P00177500,08/30/2019,0,0,0,100,-1
AAPL,208.49,AAPL190830C00180000,08/30/2019,28.03,1,0,100,1
AAPL,208.49,AAPL190830P00180000,08/30/2019,0.01,0,0,100,1
AAPL,208.49,AAPL190830C00182500,08/30/2019,25,1,0,100,-1
AAPL,208.49,AAPL190830P00182500,08/30/2019,0,0,0,100,1
AAPL,208.49,AAPL190830C00185000,08/30/2019,22.38,1,0,100,-1
AAPL,208.49,AAPL190830P00185000,08/30/2019,0.01,0,0,100,-1
AAPL,208.49,AAPL190830C00187500,08/30/2019,20.55,1,0,100,-1
AAPL,208.49,AAPL190830P00187500,08/30/2019,0.01,0,0,100,-1
AAPL,208.49,AAPL190830C00190000,08/30/2019,17.28,1,0,100,-1
AAPL,208.49,AAPL190830P00190000,08/30/2019,0.01,0,0,100,-1
AAPL,208.49,AAPL190830C00192500,08/30/2019,14.98,1,0,100,-1
AAPL,208.49,AAPL190830P00192500,08/30/2019,0.01,0,0,100,1
AAPL,208.49,AAPL190830C00195000,08/30/2019,13.35,1,0,100,1
AAPL,208.49,AAPL190830P00195000,08/30/2019,0,0,0,100,1
